id,name,category,region,batch,projectCode,protectUnits,tags,popularity,experienceValue,intro,detailUrl,manualVector
national-0370,锣鼓艺术（云胜锣鼓、中州大鼓、鄂州牌子锣、小河锣鼓）,传统音乐,山西省原平市，河南省新乡县，湖北省鄂州市，重庆市渝北区,第三批扩展项目,Ⅱ—123,,传统音乐；云胜锣鼓；中州大鼓；鄂州牌子锣；小河锣鼓；声音艺术；现场聆听；现场表演,75,70,锣鼓艺术（云胜锣鼓、中州大鼓、鄂州牌子锣、小河锣鼓）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为山西省原平市，河南省新乡县，湖北省鄂州市，重庆市渝北区。,,
national-0371,锣鼓艺术（软槌锣鼓、花镲锣鼓、大铜器、老河口锣鼓架子、八音锣鼓）,传统音乐,山西省万荣县，江西省丰城市，河南省遂平县，湖北省老河口市，，广东省佛山市顺德区,第四批扩展项目,Ⅱ—123,,传统音乐；软槌锣鼓；花镲锣鼓；大铜器；老河口锣鼓架子；八音锣鼓；声音艺术；现场聆听,73,70,锣鼓艺术（软槌锣鼓、花镲锣鼓、大铜器、老河口锣鼓架子、八音锣鼓）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为山西省万荣县，江西省丰城市，河南省遂平县，湖北省老河口市，，广东省佛山市顺德区。,,
national-0372,锣鼓艺术（临清驾鼓）,传统音乐,山东省聊城市临清市,第五批扩展项目,Ⅱ—123,,传统音乐；临清驾鼓；声音艺术；现场聆听；现场表演；节庆氛围,72,70,锣鼓艺术（临清驾鼓）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为山东省聊城市临清市。,,
national-0373,朝鲜族洞箫音乐,传统音乐,吉林省延吉市、珲春市,第二批,Ⅱ—124,,传统音乐；声音艺术；现场聆听,78,70,朝鲜族洞箫音乐是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为吉林省延吉市、珲春市。,,
national-0374,洞箫音乐（高陵洞箫）,传统音乐,陕西省西安市高陵区,第三批扩展项目,Ⅱ—124,,传统音乐；高陵洞箫；声音艺术；现场聆听,75,70,洞箫音乐（高陵洞箫）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为陕西省西安市高陵区。,,
national-0375,土家族咚咚喹,传统音乐,湖南省龙山县,第二批,Ⅱ—125,,传统音乐,78,70,土家族咚咚喹是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为湖南省龙山县。,,
national-0376,哈萨克六十二阔恩尔,传统音乐,新疆维吾尔自治区伊犁哈萨克自治州,第二批,Ⅱ—126,,传统音乐,78,70,哈萨克六十二阔恩尔是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为新疆维吾尔自治区伊犁哈萨克自治州。,,
national-0377,维吾尔族鼓吹乐,传统音乐,新疆维吾尔自治区,第二批,Ⅱ—127,,传统音乐；声音艺术；现场聆听；现场表演；节庆氛围,78,70,维吾尔族鼓吹乐是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为新疆维吾尔自治区。,,
national-0378,洞经音乐（文昌洞经古乐、妙善学女子洞经音乐）,传统音乐,四川省梓潼县，云南省通海县,第二批,Ⅱ—128,,传统音乐；文昌洞经古乐；妙善学女子洞经音乐；声音艺术；现场聆听,78,70,洞经音乐（文昌洞经古乐、妙善学女子洞经音乐）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为四川省梓潼县，云南省通海县。,,
national-0379,洞经音乐（邛都洞经音乐）,传统音乐,四川省西昌市,第四批扩展项目,Ⅱ—128,,传统音乐；邛都洞经音乐；声音艺术；现场聆听,73,70,洞经音乐（邛都洞经音乐）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为四川省西昌市。,,
national-0380,芦笙音乐（侗族芦笙、苗族芒筒芦笙）,传统音乐,湖南省通道侗族自治县，贵州省丹寨县,第二批,Ⅱ—129,,传统音乐；侗族芦笙；苗族芒筒芦笙；声音艺术；现场聆听,78,70,芦笙音乐（侗族芦笙、苗族芒筒芦笙）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为湖南省通道侗族自治县，贵州省丹寨县。,,
national-0381,布依族勒尤,传统音乐,贵州省贞丰县、兴义市、镇宁布依族苗族自治县,第二批,Ⅱ—130,,传统音乐,78,70,布依族勒尤是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为贵州省贞丰县、兴义市、镇宁布依族苗族自治县。,,
national-0382,藏族扎木聂弹唱,传统音乐,青海省海南藏族自治州,第二批,Ⅱ—131,,传统音乐,78,70,藏族扎木聂弹唱是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为青海省海南藏族自治州。,,
national-0383,工布扎念博咚,传统音乐,西藏自治区林芝市,第五批扩展项目,Ⅱ—131,,传统音乐,72,70,工布扎念博咚是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为西藏自治区林芝市。,,
national-0384,哈萨克族冬布拉艺术,传统音乐,新疆维吾尔自治区伊犁哈萨克自治州,第二批,Ⅱ—132,,传统音乐,78,70,哈萨克族冬布拉艺术是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为新疆维吾尔自治区伊犁哈萨克自治州。,,
national-0385,柯尔克孜族库姆孜艺术,传统音乐,新疆维吾尔自治区克孜勒苏柯尔克孜自治州、乌恰县,第二批,Ⅱ—133,,传统音乐,78,70,柯尔克孜族库姆孜艺术是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为新疆维吾尔自治区克孜勒苏柯尔克孜自治州、乌恰县。,,
